t,vx,vy,vz,omega
1.736699838638305664e+02,-4.160630617020375129e-03,-8.294077295385714199e-02,-1.249140397821054821e-01,0.000000000000000000e+00
1.737177159786224365e+02,-6.999242514197820744e-03,-8.801723010455911322e-02,-1.212599596278530062e-01,0.000000000000000000e+00
1.737605526447296143e+02,-6.952263323139995857e-03,-8.800586874684204752e-02,-1.212709078913790095e-01,0.000000000000000000e+00
1.738087809085845947e+02,-3.445662957359304363e-02,-1.431834104153363318e-01,-2.848247988257965324e-02,0.000000000000000000e+00
1.738527843952178955e+02,-7.041200053821783898e-03,-8.833048393639511553e-02,-1.210295299064005348e-01,0.000000000000000000e+00
1.738975207805633545e+02,-6.905840418079390447e-03,-8.829924902849631274e-02,-1.210601172522297320e-01,0.000000000000000000e+00
1.739438662528991699e+02,-5.162819727194770461e-03,-7.523679860388508833e-02,-1.296640637505354354e-01,0.000000000000000000e+00
1.739870438575744629e+02,-5.042117733559029966e-03,-7.519745737163532895e-02,-1.296916321649242421e-01,0.000000000000000000e+00
1.740301101207733154e+02,-3.616003339083146556e-03,-6.951885381349193205e-02,-1.328685571695202572e-01,0.000000000000000000e+00
1.740759186744689941e+02,-3.454416958311813668e-03,-6.945559550767346768e-02,-1.329059338635885656e-01,0.000000000000000000e+00
1.741196885108947754e+02,-1.025557639290595145e-03,-7.855390669041023566e-02,-1.277819704622010222e-01,0.000000000000000000e+00
1.741636767387390137e+02,-8.762762971389048954e-04,-7.850254266345907395e-02,-1.278146428826637260e-01,0.000000000000000000e+00
1.742083671092987061e+02,-3.159199743386937632e-03,-6.881077432635959723e-02,-1.332482524973149229e-01,0.000000000000000000e+00
1.742520325183868408e+02,-3.062409121216574416e-03,-6.877085245149983095e-02,-1.332711202904377501e-01,0.000000000000000000e+00
1.742949235439300537e+02,-4.327181885320355303e-02,-1.408704957438743077e-01,-2.798308635605860697e-02,0.000000000000000000e+00
1.743400864601135254e+02,-5.731204048351274316e-04,-5.727059636766543282e-02,-1.386353141327760774e-01,0.000000000000000000e+00
1.743855035305023193e+02,-4.930080120020295447e-04,-5.723122537002791471e-02,-1.386518798493016347e-01,0.000000000000000000e+00
1.744331135749816895e+02,1.317018344001900411e-03,-6.339817719858564793e-02,-1.359372524019016037e-01,0.000000000000000000e+00
1.744750859737396240e+02,1.333009316014252110e-03,-6.339189115762464133e-02,-1.359400280330384791e-01,0.000000000000000000e+00
1.745197446346282959e+02,-2.637564098912609342e-04,-6.378743148026817800e-02,-1.357611653519014694e-01,0.000000000000000000e+00
1.745622341632843018e+02,4.139380552787309819e-02,-3.867158639853059739e-03,-1.441235509830882111e-01,0.000000000000000000e+00
1.746073307991027832e+02,-5.406738069202212012e-03,-6.942618306847547771e-02,-1.328562090682764152e-01,0.000000000000000000e+00
1.746533312797546387e+02,-5.413313164431072383e-03,-6.943003716224457889e-02,-1.328539272292434958e-01,0.000000000000000000e+00
1.747027869224548340e+02,-5.569182402882608129e-02,-1.363677788722739703e-01,-2.832401139995634198e-02,0.000000000000000000e+00
1.747496037483215332e+02,4.478239776028055362e-03,-6.645898891914049644e-02,-1.343992119037681066e-01,0.000000000000000000e+00
1.747958207130432129e+02,4.592162834910129207e-03,-6.640717891960878916e-02,-1.344209754035311788e-01,0.000000000000000000e+00
1.748418996334075928e+02,5.377253326836090334e-04,-6.528664732887849709e-02,-1.350457867984826421e-01,0.000000000000000000e+00
1.748871650695800781e+02,5.917852186580113477e-04,-6.526178421951775444e-02,-1.350575777612647854e-01,0.000000000000000000e+00
1.749325835704803467e+02,-3.331089172540872834e-03,-6.693118692224873933e-02,-1.341980628105472473e-01,0.000000000000000000e+00
