t,x,y,z,yaw
3.326064271926879883e+02,2.142358779907226562e+00,-3.852537155151367188e+00,3.130216896533966064e-01,-2.587327578039231440e-02
3.327823972702026367e+02,2.147782802581787109e+00,-3.862151145935058594e+00,3.367249369621276855e-01,-2.202786050042665131e-02
3.329612476825714111e+02,2.149685859680175781e+00,-3.866822481155395508e+00,3.497794568538665771e-01,-2.274406774133302250e-02
3.331420137882232666e+02,2.154072761535644531e+00,-3.887929439544677734e+00,3.970611095428466797e-01,-2.995203182552477750e-02
3.333284449577331543e+02,2.153862714767456055e+00,-3.896564960479736328e+00,4.153200984001159668e-01,-3.183965960022692998e-02
3.335087811946868896e+02,2.154104232788085938e+00,-3.913147449493408203e+00,4.542749822139739990e-01,-3.419102486390132589e-02
3.336922733783721924e+02,2.150626897811889648e+00,-3.930114507675170898e+00,4.912300407886505127e-01,-3.746003637662217306e-02
3.339529759883880615e+02,2.144083261489868164e+00,-3.947932243347167969e+00,5.262458920478820801e-01,-3.981437480998232387e-02
3.340661342144012451e+02,2.135454416275024414e+00,-3.963012695312500000e+00,5.637694001197814941e-01,-4.394800861832719868e-02
3.342547016143798828e+02,2.124146938323974609e+00,-3.977248191833496094e+00,6.024824976921081543e-01,-4.914878355903445906e-02
3.343702931404113770e+02,2.118806838989257812e+00,-3.982115507125854492e+00,6.220551133155822754e-01,-5.172772217963993169e-02
3.344214162826538086e+02,2.118806838989257812e+00,-3.982115507125854492e+00,6.220551133155822754e-01,-5.172772217963993169e-02
3.344712352752685547e+02,2.113121032714843750e+00,-3.988360166549682617e+00,6.406081318855285645e-01,-5.297425217855435131e-02
3.345652415752410889e+02,2.106915235519409180e+00,-3.994610786437988281e+00,6.602746844291687012e-01,-5.285649468529162592e-02
3.346970312595367432e+02,2.100350141525268555e+00,-3.998354911804199219e+00,6.808653473854064941e-01,-5.185649850191290100e-02
3.347498099803924561e+02,2.094217061996459961e+00,-4.002259254455566406e+00,7.000457048416137695e-01,-5.157767385815999195e-02
3.347982504367828369e+02,2.094217061996459961e+00,-4.002259254455566406e+00,7.000457048416137695e-01,-5.157767385815999195e-02
3.348551878929138184e+02,2.087203025817871094e+00,-4.005881309509277344e+00,7.200213074684143066e-01,-5.134004498751927603e-02
3.349067749977111816e+02,2.087203025817871094e+00,-4.005881309509277344e+00,7.200213074684143066e-01,-5.134004498751927603e-02
3.349576501846313477e+02,2.079608440399169922e+00,-4.008704185485839844e+00,7.407500743865966797e-01,-5.139975805258587688e-02
3.350136218070983887e+02,2.079608440399169922e+00,-4.008704185485839844e+00,7.407500743865966797e-01,-5.139975805258587688e-02
3.350667834281921387e+02,2.071596384048461914e+00,-4.010470867156982422e+00,7.612689137458801270e-01,-5.067110469477260210e-02
3.351285293102264404e+02,2.071596384048461914e+00,-4.010470867156982422e+00,7.612689137458801270e-01,-5.067110469477260210e-02
3.353054797649383545e+02,2.055902242660522461e+00,-4.011311054229736328e+00,8.014914393424987793e-01,-4.547070426109363350e-02
3.355086748600006104e+02,2.039980173110961914e+00,-4.007139682769775391e+00,8.426787853240966797e-01,-4.285051993310552698e-02
3.356895360946655273e+02,2.029077529907226562e+00,-4.002202033996582031e+00,8.755583167076110840e-01,-3.989335418105996456e-02
3.358778021335601807e+02,2.029077529907226562e+00,-4.002202033996582031e+00,8.755583167076110840e-01,-3.989335418105996456e-02
3.360782940387725830e+02,2.004701375961303711e+00,-3.975904226303100586e+00,9.609983563423156738e-01,-3.448170681628887069e-02
3.362858755588531494e+02,2.001480102539062500e+00,-3.962765693664550781e+00,9.913049936294555664e-01,-3.394602860777624215e-02
3.364767951965332031e+02,2.003398895263671875e+00,-3.948769807815551758e+00,1.020643591880798340e+00,-3.335402454220844776e-02
